Query Name,ResultDir,exit_status,macrobase.analysis.transformType,macrobase.loader.loaderType,macrobase.analysis.contextual.denseContextTau,macrobase.analysis.contextual.pruning.triviality,macrobase.analysis.contextual.pruning.contextContainedInOutliers,macrobase.analysis.contextual.pruning.mad.noOutliers,macrobase.analysis.contextual.pruning.mad.containedOutliers,timeTotal,timeBuildLattice,timeDetectContextualOutliers,timeMADNoOutliersContainedOutliersPruned,numDensityPruning,numTrivialityPruning,numContextContainedInOutliersPruning,numContextsGenerated,numMadNoOutliers,numMadContainedOutliers,numContextsGeneratedWithMaximalOutliers,precision,recall,precisionRelaxed,recallRelaxed
fed_disbursements100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements100000/10-07-13:19:54,Completed,MAD,POSTGRES_LOADER,0.01,True,True,True,True,7862,1080,6470,17,17,20,0,768,0,698,70,,,,
fed_disbursements100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements100000/10-07-13:20:15,Completed,MAD,POSTGRES_LOADER,0.01,True,True,True,True,4653,1083,3418,34,17,15,0,429,0,411,18,,,,
fed_disbursements100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements100000/10-07-13:20:32,Completed,MAD,POSTGRES_LOADER,0.01,True,True,True,True,6931,997,3836,13,4,16,0,531,0,468,63,,,,
fed_disbursements100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements100000/10-07-13:20:52,Completed,MAD,POSTGRES_LOADER,0.01,True,True,True,True,1935,1006,777,4,0,5,0,36,0,28,8,,,,
