Query Name,ResultDir,exit_status,macrobase.analysis.transformType,macrobase.loader.loaderType,macrobase.analysis.contextual.denseContextTau,macrobase.analysis.contextual.pruning.triviality,macrobase.analysis.contextual.pruning.contextContainedInOutliers,macrobase.analysis.contextual.pruning.mad.noOutliers,macrobase.analysis.contextual.pruning.mad.containedOutliers,timeTotal,timeBuildLattice,timeDetectContextualOutliers,timeMADNoOutliersContainedOutliersPruned,numDensityPruning,numTrivialityPruning,numContextContainedInOutliersPruning,numContextsGenerated,numMadNoOutliers,numMadContainedOutliers,numContextsGeneratedWithMaximalOutliers,precision,recall,precisionRelaxed,recallRelaxed
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/10-07-13:19:52,Completed,MAD,POSTGRES_LOADER,0.01,True,True,True,True,1620,388,1155,9,127,0,0,342,159,161,22,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/10-07-13:19:58,Completed,MAD,POSTGRES_LOADER,0.01,True,True,True,True,1077,559,434,13,113,20,2,1084,181,889,14,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/10-07-13:20:04,Completed,MAD,POSTGRES_LOADER,0.01,True,True,True,True,968,572,314,13,170,2,0,714,613,76,25,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/10-07-13:20:09,Completed,MAD,POSTGRES_LOADER,0.01,True,True,True,True,1216,606,531,17,238,3,0,1508,1089,394,25,,,,
