reservoir, 100000, 0.5, 100
reservoir, 100000, 0.4, 136
reservoir, 100000, 0.3, 162
reservoir, 100000, 0.2, 172
reservoir, 100000, 0.1, 181
reservoir, 100000, 0.05, 167
reservoir, 100000, 0.025, 176
reservoir, 100000, 0.01, 203
reservoir, 1000000, 0.5, 1257
reservoir, 1000000, 0.4, 1406
reservoir, 1000000, 0.3, 1534
reservoir, 1000000, 0.2, 1648
reservoir, 1000000, 0.1, 1615
reservoir, 1000000, 0.05, 1554
reservoir, 1000000, 0.025, 1394
reservoir, 1000000, 0.01, 1408
reservoir, 10000000, 0.5, 17081
reservoir, 10000000, 0.4, 16440
reservoir, 10000000, 0.3, 17805
reservoir, 10000000, 0.2, 18366
reservoir, 10000000, 0.1, 19083
reservoir, 10000000, 0.05, 16836
reservoir, 10000000, 0.025, 15062
reservoir, 10000000, 0.01, 14099
rejection, 100000, 0.5, 167
rejection, 100000, 0.4, 125
rejection, 100000, 0.3, 79
rejection, 100000, 0.2, 51
rejection, 100000, 0.1, 35
rejection, 100000, 0.05, 9
rejection, 100000, 0.025, 7
rejection, 100000, 0.01, 9
rejection, 1000000, 0.5, 2398
rejection, 1000000, 0.4, 1753
rejection, 1000000, 0.3, 1190
rejection, 1000000, 0.2, 781
rejection, 1000000, 0.1, 320
rejection, 1000000, 0.05, 226
rejection, 1000000, 0.025, 94
rejection, 1000000, 0.01, 53
rejection, 10000000, 0.5, 42033
rejection, 10000000, 0.4, 31174
rejection, 10000000, 0.3, 21404
rejection, 10000000, 0.2, 13532
rejection, 10000000, 0.1, 6467
rejection, 10000000, 0.05, 3254
rejection, 10000000, 0.025, 1670
rejection, 10000000, 0.01, 736
fisheryates, 100000, 0.5, 111
fisheryates, 100000, 0.4, 94
fisheryates, 100000, 0.3, 73
fisheryates, 100000, 0.2, 49
fisheryates, 100000, 0.1, 33
fisheryates, 100000, 0.05, 24
fisheryates, 100000, 0.025, 15
fisheryates, 100000, 0.01, 15
fisheryates, 1000000, 0.5, 2448
fisheryates, 1000000, 0.4, 2107
fisheryates, 1000000, 0.3, 1673
fisheryates, 1000000, 0.2, 1104
fisheryates, 1000000, 0.1, 626
fisheryates, 1000000, 0.05, 408
fisheryates, 1000000, 0.025, 267
fisheryates, 1000000, 0.01, 183
fisheryates, 10000000, 0.5, 32433
fisheryates, 10000000, 0.4, 26014
fisheryates, 10000000, 0.3, 19796
fisheryates, 10000000, 0.2, 13673
fisheryates, 10000000, 0.1, 7423
fisheryates, 10000000, 0.05, 4250
fisheryates, 10000000, 0.025, 2589
fisheryates, 10000000, 0.01, 1655
