Query Name,ResultDir,exit_status,macrobase.analysis.transformType,macrobase.loader.loaderType,macrobase.analysis.contextual.denseContextTau,macrobase.analysis.contextual.numTuples,macrobase.analysis.contextual.pruning.triviality,macrobase.analysis.contextual.pruning.contextContainedInOutliers,macrobase.analysis.contextual.pruning.mad.noOutliers,macrobase.analysis.contextual.pruning.mad.containedOutliers,timeTotal,timeBuildLattice,timeDetectContextualOutliers,timeMADNoOutliersContainedOutliersPruned,numDensityPruning,numTrivialityPruning,numContextContainedInOutliersPruning,numContextsGenerated,numMadNoOutliers,numMadContainedOutliers,numContextsGeneratedWithMaximalOutliers,precision,recall,precisionRelaxed,recallRelaxed
fed_disbursements1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements1000000/11-05-12:05:00,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,True,True,171179,78546,91206,399,7116,343,2,18620,140,16880,1600,,,,
fed_disbursements1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements1000000/11-05-12:09:51,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,False,True,True,155127,62050,91667,260,7116,343,0,18623,143,16880,1600,,,,
fed_disbursements1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements1000000/11-05-12:14:33,Completed,MAD,POSTGRES_LOADER,0.01,1000000,False,True,True,True,220781,104673,114619,783,7116,0,3,52557,279,50666,1600,,,,
fed_disbursements1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements1000000/11-05-12:20:22,Completed,MAD,POSTGRES_LOADER,0.01,1000000,False,False,True,True,240031,111103,127455,877,7116,0,0,52564,286,50666,1600,,,,
fed_disbursements1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements1000000/11-05-12:26:32,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,False,True,155076,58432,95132,587,7116,343,2,18620,0,17019,1600,,,,
fed_disbursements1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements1000000/11-05-12:31:13,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,False,False,True,155164,62651,90745,253,7116,343,0,18623,0,17019,1600,,,,
fed_disbursements1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements1000000/11-05-12:35:50,Completed,MAD,POSTGRES_LOADER,0.01,1000000,False,True,False,True,233092,131915,99743,750,7116,0,3,52557,0,50944,1600,,,,
fed_disbursements1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements1000000/11-05-12:41:53,Completed,MAD,POSTGRES_LOADER,0.01,1000000,False,False,False,True,242164,113439,127284,775,7116,0,0,52564,0,50944,1600,,,,
fed_disbursements1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements1000000/11-05-12:48:02,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,True,False,441649,72813,367307,200,7116,343,2,18620,140,0,1600,,,,
fed_disbursements1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements1000000/11-05-12:57:28,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,False,True,False,389893,48749,339641,150,7116,343,0,18623,143,0,1600,,,,
fed_disbursements1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements1000000/11-05-13:05:58,Completed,MAD,POSTGRES_LOADER,0.01,1000000,False,True,True,False,951686,103114,846977,353,7116,0,3,52557,279,0,1600,,,,
fed_disbursements1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements1000000/11-05-13:23:59,Completed,MAD,POSTGRES_LOADER,0.01,1000000,False,False,True,False,944665,73486,869535,375,7116,0,0,52564,286,0,1600,,,,
fed_disbursements1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements1000000/11-05-13:41:54,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,False,False,430243,44478,384286,0,7116,343,2,18620,0,0,1600,,,,
fed_disbursements1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements1000000/11-05-13:51:09,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,False,False,False,430464,55502,373463,0,7116,343,0,18623,0,0,1600,,,,
fed_disbursements1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements1000000/11-05-14:00:17,Completed,MAD,POSTGRES_LOADER,0.01,1000000,False,True,False,False,926978,70802,854566,0,7116,0,3,52557,0,0,1600,,,,
fed_disbursements1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements1000000/11-05-14:17:47,Completed,MAD,POSTGRES_LOADER,0.01,1000000,False,False,False,False,1009952,78931,929363,0,7116,0,0,52564,0,0,1600,,,,
