Query Name,ResultDir,exit_status,macrobase.analysis.transformType,macrobase.loader.loaderType,macrobase.analysis.contextual.denseContextTau,macrobase.analysis.contextual.numTuples,macrobase.analysis.contextual.pruning.triviality,macrobase.analysis.contextual.pruning.contextContainedInOutliers,macrobase.analysis.contextual.pruning.mad.noOutliers,macrobase.analysis.contextual.pruning.mad.containedOutliers,timeTotal,timeBuildLattice,timeDetectContextualOutliers,timeMADNoOutliersContainedOutliersPruned,numDensityPruning,numTrivialityPruning,numContextContainedInOutliersPruning,numContextsGenerated,numMadNoOutliers,numMadContainedOutliers,numContextsGeneratedWithMaximalOutliers,precision,recall,precisionRelaxed,recallRelaxed
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-05-12:04:59,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,True,True,849208,215494,631592,3449,18335,2007,454,120250,25707,81569,12974,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-05-12:19:55,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,False,True,True,875968,240017,633849,4086,19071,2140,0,137333,27536,87869,11649,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-05-12:35:26,OutOfMemory-Xmx100g,MAD,POSTGRES_LOADER,0.01,1000000,False,True,True,True,,,,,,,,,,,,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-05-12:57:27,OutOfMemory-Xmx100g,MAD,POSTGRES_LOADER,0.01,1000000,False,False,True,True,,,,,,,,,,,,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-05-13:19:04,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,False,True,841648,228319,611326,3322,17904,2142,965,126966,0,114287,12677,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-05-13:34:03,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,False,False,True,991205,219248,769847,3783,19107,2046,0,141026,0,118944,12611,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-05-13:51:21,OutOfMemory-Xmx100g,MAD,POSTGRES_LOADER,0.01,1000000,False,True,False,True,,,,,,,,,,,,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-05-14:11:20,OutOfMemory-Xmx100g,MAD,POSTGRES_LOADER,0.01,1000000,False,False,False,True,,,,,,,,,,,,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-05-14:33:11,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,True,False,2811792,184418,2624959,1759,19298,2265,790,106179,19374,0,11297,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-05-15:20:51,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,False,True,False,3146992,209823,2934659,2080,19251,2409,0,126604,29592,0,12127,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-05-16:14:06,Timeout 3600,MAD,POSTGRES_LOADER,0.01,1000000,False,True,True,False,,,,,,,,,,,,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-05-17:14:07,Timeout 3600,MAD,POSTGRES_LOADER,0.01,1000000,False,False,True,False,,,,,,,,,,,,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-05-18:14:09,Timeout 3600,MAD,POSTGRES_LOADER,0.01,1000000,True,True,False,False,,,,,,,,,,,,,,,
