Query Name,ResultDir,exit_status,macrobase.analysis.transformType,macrobase.loader.loaderType,macrobase.analysis.contextual.denseContextTau,macrobase.analysis.contextual.numTuples,macrobase.analysis.contextual.pruning.triviality,macrobase.analysis.contextual.pruning.contextContainedInOutliers,macrobase.analysis.contextual.pruning.mad.noOutliers,macrobase.analysis.contextual.pruning.mad.containedOutliers,timeTotal,timeBuildLattice,timeDetectContextualOutliers,timeMADNoOutliersContainedOutliersPruned,numDensityPruning,numTrivialityPruning,numContextContainedInOutliersPruning,numContextsGenerated,numMadNoOutliers,numMadContainedOutliers,numContextsGeneratedWithMaximalOutliers,precision,recall,precisionRelaxed,recallRelaxed
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-05-12:05:00,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,True,True,25979,14952,10876,354,37319,808,47,97487,70585,26208,694,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-05-12:05:31,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,False,True,True,23636,13624,9862,332,37925,812,0,97746,70837,26215,694,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-05-12:05:59,Completed,MAD,POSTGRES_LOADER,0.01,1000000,False,True,True,True,32823,19608,13044,398,37319,0,47,140515,109676,30145,694,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-05-12:06:37,Completed,MAD,POSTGRES_LOADER,0.01,1000000,False,False,True,True,33705,19892,13633,432,37925,0,0,140989,110137,30158,694,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-05-12:07:16,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,False,True,26161,11992,14022,429,37319,808,47,97487,0,96792,694,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-05-12:07:47,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,False,False,True,24673,13597,10902,523,37925,812,0,97746,0,96915,694,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-05-12:08:17,Completed,MAD,POSTGRES_LOADER,0.01,1000000,False,True,False,True,32241,18122,13951,561,37319,0,47,140515,0,139820,694,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-05-12:08:54,Completed,MAD,POSTGRES_LOADER,0.01,1000000,False,False,False,True,32717,19240,13312,578,37925,0,0,140989,0,140012,694,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-05-12:09:32,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,True,False,45238,10971,34114,254,37319,808,47,97487,70585,0,694,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-05-12:10:22,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,False,True,False,44955,11130,33678,213,37925,812,0,97746,70837,0,694,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-05-12:11:12,Completed,MAD,POSTGRES_LOADER,0.01,1000000,False,True,True,False,57478,15648,41646,270,37319,0,47,140515,109676,0,694,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-05-12:12:15,Completed,MAD,POSTGRES_LOADER,0.01,1000000,False,False,True,False,53354,13676,39456,268,37925,0,0,140989,110137,0,694,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-05-12:13:13,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,False,False,86392,10332,75773,0,37319,808,47,97487,0,0,694,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-05-12:14:45,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,False,False,False,90621,10996,79362,0,37925,812,0,97746,0,0,694,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-05-12:16:20,Completed,MAD,POSTGRES_LOADER,0.01,1000000,False,True,False,False,115496,15615,99621,0,37319,0,47,140515,0,0,694,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-05-12:18:21,Completed,MAD,POSTGRES_LOADER,0.01,1000000,False,False,False,False,117046,15163,101632,0,37925,0,0,140989,0,0,694,,,,
