Query Name,ResultDir,exit_status,macrobase.analysis.transformType,macrobase.loader.loaderType,macrobase.analysis.contextual.denseContextTau,macrobase.analysis.contextual.numTuples,macrobase.analysis.contextual.pruning.triviality,macrobase.analysis.contextual.pruning.contextContainedInOutliers,macrobase.analysis.contextual.pruning.mad.noOutliers,macrobase.analysis.contextual.pruning.mad.containedOutliers,timeTotal,timeBuildLattice,timeDetectContextualOutliers,timeMADNoOutliersContainedOutliersPruned,numDensityPruning,numTrivialityPruning,numContextContainedInOutliersPruning,numContextsGenerated,numMadNoOutliers,numMadContainedOutliers,numContextsGeneratedWithMaximalOutliers,precision,recall,precisionRelaxed,recallRelaxed
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-06-00:43:06,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,True,True,813620,175556,636079,3459,18136,1920,755,112482,16991,82479,13011,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-06-00:57:25,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,True,True,794922,225788,567035,3438,18202,2071,579,127816,33414,81726,12675,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-06-01:11:37,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,True,True,740461,218876,519624,3060,19865,2380,600,106474,25398,69355,11721,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-06-01:24:51,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,True,True,855641,259080,594498,3282,17759,2121,647,129480,41539,76994,10947,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-06-01:39:56,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,True,True,677663,219640,456020,3164,19743,2552,201,118648,31881,77501,9266,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-06-01:51:59,Timeout 3600,MAD,POSTGRES_LOADER,0.01,1000000,True,True,True,True,,,,,,,,,,,,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-06-01:00:00,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,True,True,691535,212570,477018,2818,19680,2451,206,112004,37388,66400,8216,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-06-01:12:26,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,True,True,715139,217073,496054,2946,18281,2105,224,124484,47193,70041,7250,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-06-01:25:13,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,True,True,681763,246704,433084,2577,19764,2342,509,116370,53656,56146,6568,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-06-01:37:20,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,True,True,701071,235271,463834,2863,19287,2078,88,129214,57530,65260,6424,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-06-01:49:53,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,True,True,687390,226322,459061,2712,18716,2134,151,127224,64819,56679,5726,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-06-02:02:18,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,True,True,656425,240210,414342,2760,19067,2292,130,122451,60203,56258,5990,,,,
cmt1000000,/data/x4chu/macrobase/bench/contextual/workflows/cmt1000000/11-06-02:14:11,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,True,True,645719,246213,397519,2671,18522,2382,20,124783,67604,51420,5759,,,,
