Query Name,ResultDir,exit_status,macrobase.analysis.transformType,macrobase.loader.loaderType,macrobase.analysis.contextual.denseContextTau,macrobase.analysis.contextual.numTuples,macrobase.analysis.contextual.pruning.triviality,macrobase.analysis.contextual.pruning.contextContainedInOutliers,macrobase.analysis.contextual.pruning.mad.noOutliers,macrobase.analysis.contextual.pruning.mad.containedOutliers,timeTotal,timeBuildLattice,timeDetectContextualOutliers,timeMADNoOutliersContainedOutliersPruned,numDensityPruning,numTrivialityPruning,numContextContainedInOutliersPruning,numContextsGenerated,numMadNoOutliers,numMadContainedOutliers,numContextsGeneratedWithMaximalOutliers,precision,recall,precisionRelaxed,recallRelaxed
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-04-23:39:11,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,True,True,264248,125228,138676,764,5542,32,304,101652,53336,48287,29,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-04-23:43:48,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,False,True,True,367854,140572,226904,877,7889,57,0,127652,73463,48289,29,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-04-23:50:08,Completed,MAD,POSTGRES_LOADER,0.01,1000000,False,True,True,True,248927,119795,128780,658,5542,0,305,104011,54857,49125,29,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-04-23:54:32,Completed,MAD,POSTGRES_LOADER,0.01,1000000,False,False,True,True,357424,124113,232905,870,7889,0,0,133064,77036,49127,29,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-05-00:00:43,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,False,True,274630,132633,141635,979,5542,32,304,101652,0,101618,29,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-05-00:05:30,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,False,False,True,441689,128170,313104,1223,7889,57,0,127652,0,104261,29,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-05-00:13:04,Completed,MAD,POSTGRES_LOADER,0.01,1000000,False,True,False,True,268747,122559,145824,975,5542,0,305,104011,0,103977,29,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-05-00:17:46,Completed,MAD,POSTGRES_LOADER,0.01,1000000,False,False,False,True,490880,116681,373752,1373,7889,0,0,133064,0,106742,29,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-05-00:26:10,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,True,False,1160533,109582,1050467,608,5542,32,304,101652,53336,0,29,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-05-00:45:47,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,False,True,False,1282197,126788,1154947,706,7889,57,0,127652,73463,0,29,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-05-01:07:23,Completed,MAD,POSTGRES_LOADER,0.01,1000000,False,True,True,False,1222141,91236,1130411,740,5542,0,305,104011,54857,0,29,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-05-01:27:59,Completed,MAD,POSTGRES_LOADER,0.01,1000000,False,False,True,False,1284176,109049,1174612,678,7889,0,0,133064,77036,0,29,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-05-01:49:38,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,True,False,False,1773471,107974,1664957,0,5542,32,304,101652,0,0,29,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-05-02:19:26,Completed,MAD,POSTGRES_LOADER,0.01,1000000,True,False,False,False,2082883,106143,1976152,0,7889,57,0,127652,0,0,29,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-05-02:54:23,Completed,MAD,POSTGRES_LOADER,0.01,1000000,False,True,False,False,1812016,78719,1732730,0,5542,0,305,104011,0,0,29,,,,
uk_road_accidents1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/uk_road_accidents1000000/11-05-03:24:49,Completed,MAD,POSTGRES_LOADER,0.01,1000000,False,False,False,False,1971692,91921,1879163,0,7889,0,0,133064,0,0,29,,,,
