Query Name,ResultDir,exit_status,macrobase.analysis.transformType,macrobase.loader.loaderType,macrobase.analysis.contextual.denseContextTau,macrobase.analysis.contextual.pruning.triviality,macrobase.analysis.contextual.pruning.contextContainedInOutliers,macrobase.analysis.contextual.pruning.mad.noOutliers,macrobase.analysis.contextual.pruning.mad.containedOutliers,timeTotal,timeBuildLattice,timeDetectContextualOutliers,timeMADNoOutliersContainedOutliersPruned,numDensityPruning,numTrivialityPruning,numContextContainedInOutliersPruning,numContextsGenerated,numMadNoOutliers,numMadContainedOutliers,numContextsGeneratedWithMaximalOutliers,precision,recall,precisionRelaxed,recallRelaxed
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/10-07-11:16:50,Completed,MAD,POSTGRES_LOADER,0.01,True,True,True,True,26920,15691,11088,394,36873,806,86,97313,59070,37116,1127,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/10-07-11:17:23,Completed,MAD,POSTGRES_LOADER,0.01,True,False,True,True,25202,13958,11086,435,37925,812,0,97746,59478,37133,1127,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/10-07-11:17:53,Completed,MAD,POSTGRES_LOADER,0.01,False,True,True,True,33688,19777,13722,559,36873,0,86,140196,95947,43122,1127,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/10-07-11:18:32,Completed,MAD,POSTGRES_LOADER,0.01,False,False,True,True,33286,19098,14016,483,37925,0,0,140989,96697,43155,1127,,,,
