Query Name,ResultDir,exit_status,macrobase.analysis.transformType,macrobase.loader.loaderType,macrobase.analysis.contextual.denseContextTau,macrobase.analysis.contextual.pruning.triviality,macrobase.analysis.contextual.pruning.contextContainedInOutliers,macrobase.analysis.contextual.pruning.mad.noOutliers,macrobase.analysis.contextual.pruning.mad.containedOutliers,timeTotal,timeBuildLattice,timeDetectContextualOutliers,timeMADNoOutliersContainedOutliersPruned,numDensityPruning,numTrivialityPruning,numContextContainedInOutliersPruning,numContextsGenerated,numMadNoOutliers,numMadContainedOutliers,numContextsGeneratedWithMaximalOutliers,precision,recall,precisionRelaxed,recallRelaxed
fed_disbursements100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements100000/10-07-11:16:51,Completed,MAD,POSTGRES_LOADER,0.01,True,True,True,True,10995,3226,7577,144,8043,438,6,17875,101,16347,1427,,,,
fed_disbursements100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements100000/10-07-11:17:20,Completed,MAD,POSTGRES_LOADER,0.01,True,False,True,True,11742,3075,8482,145,8056,438,0,17914,140,16347,1427,,,,
fed_disbursements100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements100000/10-07-11:17:45,Completed,MAD,POSTGRES_LOADER,0.01,False,True,True,True,23335,8651,14435,361,8043,0,7,56017,223,54365,1427,,,,
fed_disbursements100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/fed_disbursements100000/10-07-11:18:22,Completed,MAD,POSTGRES_LOADER,0.01,False,False,True,True,22949,7183,15551,436,8056,0,0,56102,308,54365,1427,,,,
