Query Name,ResultDir,exit_status,macrobase.analysis.transformType,macrobase.loader.loaderType,macrobase.analysis.contextual.denseContextTau,macrobase.analysis.contextual.pruning.triviality,macrobase.analysis.contextual.pruning.contextContainedInOutliers,macrobase.analysis.contextual.pruning.mad.noOutliers,macrobase.analysis.contextual.pruning.mad.containedOutliers,timeTotal,timeBuildLattice,timeDetectContextualOutliers,timeMADNoOutliersContainedOutliersPruned,numDensityPruning,numTrivialityPruning,numContextContainedInOutliersPruning,numContextsGenerated,numMadNoOutliers,numMadContainedOutliers,numContextsGeneratedWithMaximalOutliers,precision,recall,precisionRelaxed,recallRelaxed
campaign_expenditures100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures100000/10-07-11:16:49,Completed,MAD,POSTGRES_LOADER,0.01,True,True,True,True,6966,1726,5130,79,3193,764,45,7628,2483,4901,244,,,,
campaign_expenditures100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures100000/10-07-11:17:21,Completed,MAD,POSTGRES_LOADER,0.01,True,False,True,True,7229,1784,5332,83,3235,802,0,8531,3386,4901,244,,,,
campaign_expenditures100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures100000/10-07-11:17:52,Completed,MAD,POSTGRES_LOADER,0.01,False,True,True,True,45968,18685,27048,844,3193,0,61,160966,45364,115358,244,,,,
campaign_expenditures100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures100000/10-07-11:19:02,Completed,MAD,POSTGRES_LOADER,0.01,False,False,True,True,45998,16537,29250,763,3235,0,0,171552,55904,115358,244,,,,
