Query Name,ResultDir,exit_status,macrobase.analysis.transformType,macrobase.loader.loaderType,macrobase.analysis.contextual.denseContextTau,macrobase.analysis.contextual.pruning.triviality,macrobase.analysis.contextual.pruning.contextContainedInOutliers,macrobase.analysis.contextual.pruning.mad.noOutliers,macrobase.analysis.contextual.pruning.mad.containedOutliers,timeTotal,timeBuildLattice,timeDetectContextualOutliers,timeMADNoOutliersContainedOutliersPruned,numDensityPruning,numTrivialityPruning,numContextContainedInOutliersPruning,numContextsGenerated,numMadNoOutliers,numMadContainedOutliers,numContextsGeneratedWithMaximalOutliers,precision,recall,precisionRelaxed,recallRelaxed
cmt100000,/data/x4chu/macrobase/bench/contextual/workflows/cmt100000/10-07-11:15:25,Completed,MAD,POSTGRES_LOADER,0.01,True,True,True,True,352440,231089,120508,5007,157770,9621,278,450574,42711,351971,55892,,,,
cmt100000,/data/x4chu/macrobase/bench/contextual/workflows/cmt100000/10-07-11:22:08,Completed,MAD,POSTGRES_LOADER,0.01,True,False,True,True,367830,241452,125660,5364,154407,9778,0,480355,42176,381845,55437,,,,
cmt100000,/data/x4chu/macrobase/bench/contextual/workflows/cmt100000/10-07-11:29:01,Timeout 3600,MAD,POSTGRES_LOADER,0.01,False,True,True,True,,,,,,,,,,,,,,,
cmt100000,/data/x4chu/macrobase/bench/contextual/workflows/cmt100000/10-07-12:29:02,OutOfMemory-Xmx50g,MAD,POSTGRES_LOADER,0.01,False,False,True,True,,,,,,,,,,,,,,,
