TrialID	Time	LatticeTime	DetectTime	NumGeneratedContexts	NumMADNoOutlier	NumContextsWithMaximalOutliers
829	200	179.0	18.0	1238.0	1236.0	2.0
830	747	722.0	16.0	5944.0	5944.0	0.0
831	410	395.0	14.0	2971.0	2971.0	0.0
832	138	132.0	4.0	1157.0	1157.0	0.0
833	333	325.0	4.0	2614.0	2614.0	0.0
834	466	456.0	6.0	3486.0	3486.0	0.0
835	148	126.0	20.0	779.0	767.0	12.0
836	460	453.0	5.0	4289.0	4289.0	0.0
837	214	209.0	1.0	1883.0	1883.0	0.0
838	80	71.0	8.0	594.0	590.0	4.0
839	376	365.0	6.0	2993.0	2993.0	0.0
840	198	195.0	1.0	1626.0	1626.0	0.0
841	149	149.0	0.0	1202.0	1202.0	0.0
842	158	153.0	3.0	1303.0	1303.0	0.0
843	162	155.0	6.0	1136.0	1128.0	8.0
844	271	258.0	11.0	2182.0	2175.0	7.0
845	131	127.0	1.0	1170.0	1170.0	0.0
846	361	353.0	3.0	2597.0	2597.0	0.0
847	107	104.0	2.0	867.0	866.0	1.0
848	309	299.0	5.0	2448.0	2448.0	0.0
849	367	358.0	8.0	2619.0	2619.0	0.0
850	313	309.0	2.0	2438.0	2438.0	0.0
851	154	151.0	2.0	1173.0	1173.0	0.0
852	299	292.0	5.0	2290.0	2285.0	5.0
853	291	284.0	3.0	2414.0	2414.0	0.0
854	322	315.0	4.0	2300.0	2299.0	1.0
855	248	244.0	2.0	1878.0	1878.0	0.0
856	273	263.0	9.0	2169.0	2169.0	0.0
857	96	93.0	3.0	648.0	648.0	0.0
858	152	143.0	8.0	1143.0	1141.0	2.0
859	62	59.0	3.0	451.0	450.0	1.0
860	448	438.0	6.0	3545.0	3545.0	0.0
861	99	87.0	12.0	566.0	562.0	4.0
862	217	214.0	3.0	1524.0	1524.0	0.0
863	699	685.0	9.0	7694.0	7694.0	0.0
864	536	527.0	5.0	4723.0	4723.0	0.0
865	255	247.0	8.0	1866.0	1866.0	0.0
866	252	245.0	4.0	1985.0	1985.0	0.0
867	66	64.0	2.0	503.0	503.0	0.0
868	458	440.0	10.0	3572.0	3570.0	2.0
869	193	160.0	32.0	998.0	988.0	10.0
870	512	494.0	11.0	4394.0	4394.0	0.0
871	151	147.0	4.0	1242.0	1242.0	0.0
872	161	117.0	42.0	788.0	777.0	11.0
873	181	171.0	10.0	1233.0	1231.0	2.0
874	174	168.0	3.0	1239.0	1239.0	0.0
875	128	126.0	2.0	1116.0	1116.0	0.0
876	78	49.0	29.0	325.0	322.0	3.0
877	511	500.0	7.0	4079.0	4079.0	0.0
878	300	279.0	16.0	2398.0	2388.0	10.0
879	73	57.0	15.0	351.0	346.0	5.0
880	346	337.0	5.0	2651.0	2647.0	4.0
881	255	250.0	4.0	2348.0	2348.0	0.0
882	379	370.0	7.0	3313.0	3313.0	0.0
883	386	373.0	7.0	3523.0	3523.0	0.0
884	77	75.0	2.0	501.0	501.0	0.0
885	272	263.0	6.0	2700.0	2698.0	2.0
886	201	184.0	17.0	1125.0	1123.0	2.0
887	87	87.0	0.0	596.0	596.0	0.0
888	166	129.0	36.0	766.0	753.0	13.0
889	229	223.0	4.0	1729.0	1729.0	0.0
890	389	380.0	5.0	3028.0	3028.0	0.0
891	227	204.0	20.0	1776.0	1770.0	6.0
892	285	278.0	4.0	2290.0	2288.0	2.0
893	308	301.0	2.0	2279.0	2279.0	0.0
894	451	436.0	6.0	4422.0	4421.0	1.0
895	196	189.0	6.0	1269.0	1265.0	4.0
896	227	219.0	6.0	1767.0	1761.0	6.0
897	194	192.0	2.0	1441.0	1441.0	0.0
898	69	68.0	0.0	496.0	496.0	0.0
899	934	904.0	22.0	7968.0	7968.0	0.0
900	489	473.0	11.0	4400.0	4400.0	0.0
901	41	41.0	0.0	254.0	254.0	0.0
902	702	688.0	5.0	6045.0	6044.0	1.0
903	449	443.0	6.0	3858.0	3858.0	0.0
904	281	264.0	17.0	1824.0	1821.0	3.0
905	317	308.0	6.0	2468.0	2468.0	0.0
906	499	480.0	9.0	4574.0	4574.0	0.0
907	296	285.0	9.0	2138.0	2138.0	0.0
908	131	129.0	0.0	1291.0	1291.0	0.0
909	136	118.0	18.0	821.0	812.0	9.0
910	48	48.0	0.0	366.0	366.0	0.0
911	286	278.0	6.0	2391.0	2391.0	0.0
912	161	158.0	1.0	1197.0	1197.0	0.0
913	194	179.0	13.0	1303.0	1299.0	4.0
914	251	244.0	5.0	2117.0	2117.0	0.0
915	373	358.0	12.0	3093.0	3084.0	9.0
916	846	824.0	15.0	7293.0	7293.0	0.0
917	199	194.0	4.0	1540.0	1540.0	0.0
918	144	140.0	4.0	1008.0	1008.0	0.0
919	326	321.0	4.0	3177.0	3177.0	0.0
920	262	204.0	56.0	1280.0	1262.0	18.0
921	236	234.0	2.0	1782.0	1782.0	0.0
922	447	437.0	7.0	3560.0	3560.0	0.0
923	172	168.0	3.0	1473.0	1473.0	0.0
924	309	295.0	9.0	2610.0	2607.0	3.0
925	225	219.0	6.0	1796.0	1796.0	0.0
926	893	881.0	9.0	7752.0	7752.0	0.0
927	259	257.0	0.0	2043.0	2043.0	0.0
928	179	172.0	5.0	1343.0	1343.0	0.0
929	440	428.0	5.0	3721.0	3721.0	0.0
930	486	478.0	7.0	3652.0	3652.0	0.0
931	376	369.0	4.0	2967.0	2967.0	0.0
932	139	135.0	3.0	1073.0	1073.0	0.0
933	141	129.0	11.0	846.0	842.0	4.0
934	94	93.0	0.0	646.0	646.0	0.0
935	209	203.0	6.0	1619.0	1619.0	0.0
936	121	119.0	2.0	938.0	938.0	0.0
937	227	222.0	3.0	1690.0	1690.0	0.0
938	418	399.0	16.0	2842.0	2829.0	13.0
939	190	188.0	2.0	1418.0	1418.0	0.0
940	80	75.0	3.0	588.0	588.0	0.0
941	145	133.0	11.0	914.0	913.0	1.0
942	282	269.0	9.0	2049.0	2048.0	1.0
943	167	167.0	0.0	1283.0	1283.0	0.0
944	171	163.0	6.0	1221.0	1220.0	1.0
945	122	119.0	1.0	846.0	846.0	0.0
946	193	185.0	8.0	1289.0	1288.0	1.0
947	39	32.0	7.0	199.0	197.0	2.0
948	140	133.0	6.0	866.0	865.0	1.0
949	160	154.0	6.0	1068.0	1061.0	7.0
950	500	485.0	8.0	4423.0	4423.0	0.0
951	428	418.0	9.0	3248.0	3248.0	0.0
952	111	78.0	33.0	387.0	378.0	9.0
953	313	305.0	4.0	2568.0	2560.0	8.0
954	393	350.0	41.0	2243.0	2226.0	17.0
955	60	41.0	19.0	234.0	228.0	6.0
956	207	204.0	3.0	1611.0	1611.0	0.0
957	156	101.0	54.0	510.0	491.0	19.0
958	157	155.0	1.0	1246.0	1246.0	0.0
959	89	73.0	16.0	538.0	533.0	5.0
960	431	414.0	13.0	3360.0	3359.0	1.0
961	387	371.0	14.0	2667.0	2665.0	2.0
962	378	367.0	11.0	2966.0	2957.0	9.0
963	257	256.0	0.0	1747.0	1747.0	0.0
964	247	231.0	14.0	1682.0	1678.0	4.0
