Query Name,ResultDir,exit_status,macrobase.analysis.transformType,macrobase.loader.loaderType,macrobase.analysis.contextual.denseContextTau,macrobase.analysis.contextual.pruning.triviality,macrobase.analysis.contextual.pruning.contextContainedInOutliers,macrobase.analysis.contextual.pruning.mad.noOutliers,macrobase.analysis.contextual.pruning.mad.containedOutliers,timeTotal,timeBuildLattice,timeDetectContextualOutliers,timeMADNoOutliersContainedOutliersPruned,numDensityPruning,numTrivialityPruning,numContextContainedInOutliersPruning,numContextsGenerated,numMadNoOutliers,numMadContainedOutliers,numContextsGeneratedWithMaximalOutliers,precision,recall,precisionRelaxed,recallRelaxed
campaign_expenditures100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures100000/10-05-11:03:37,Completed,MAD,POSTGRES_LOADER,0.01,True,True,True,True,7651,2878,4654,84,3193,764,45,7628,2483,4901,244,,,,
campaign_expenditures100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures100000/10-05-11:04:09,Completed,MAD,POSTGRES_LOADER,0.01,True,True,False,True,7373,1677,5589,62,3193,764,45,7628,0,7380,244,,,,
campaign_expenditures100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures100000/10-05-11:04:40,Completed,MAD,POSTGRES_LOADER,0.01,True,True,True,False,24985,1914,22797,45,3193,764,45,7628,2483,0,244,,,,
campaign_expenditures100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures100000/10-05-11:05:28,Completed,MAD,POSTGRES_LOADER,0.01,True,True,False,False,29011,1724,27013,0,3193,764,45,7628,0,0,244,,,,
