Query Name,ResultDir,exit_status,macrobase.analysis.transformType,macrobase.loader.loaderType,macrobase.analysis.contextual.denseContextTau,macrobase.analysis.classify.outlierStaticThreshold,macrobase.analysis.contextual.numTuples,macrobase.analysis.contextual.pruning.triviality,macrobase.analysis.contextual.pruning.contextContainedInOutliers,macrobase.analysis.contextual.pruning.mad.noOutliers,macrobase.analysis.contextual.pruning.mad.containedOutliers,timeTotal,timeBuildLattice,timeDetectContextualOutliers,timeMADNoOutliersContainedOutliersPruned,numDensityPruning,numTrivialityPruning,numContextContainedInOutliersPruning,numContextsGenerated,numMadNoOutliers,numMadContainedOutliers,numContextsGeneratedWithMaximalOutliers,precision,recall,precisionRelaxed,recallRelaxed
campaign_expenditures1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures1000000/11-11-15:09:00,Completed,MAD,POSTGRES_LOADER,0.01,3,1000000,True,True,True,True,65582,50645,14898,249,7313,711,43,8479,2421,5777,281,,,,
campaign_expenditures1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures1000000/11-11-15:11:50,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,True,True,True,True,73389,56017,17331,156,7317,715,38,8596,2566,5746,284,,,,
campaign_expenditures1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures1000000/11-11-15:14:59,Completed,MAD,POSTGRES_LOADER,0.01,7,1000000,True,True,True,True,59288,45749,13507,142,7324,720,28,8697,2735,5689,273,,,,
campaign_expenditures1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures1000000/11-11-15:17:55,Completed,MAD,POSTGRES_LOADER,0.01,9,1000000,True,True,True,True,80416,49563,30809,190,7324,720,28,8697,2751,5683,263,,,,
campaign_expenditures1000000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures1000000/11-11-15:21:07,Completed,MAD,POSTGRES_LOADER,0.01,11,1000000,True,True,True,True,75396,47117,28232,126,7330,723,25,8739,2901,5558,280,,,,
