Query Name,ResultDir,exit_status,macrobase.analysis.transformType,macrobase.loader.loaderType,macrobase.analysis.contextual.denseContextTau,macrobase.analysis.classify.outlierStaticThreshold,macrobase.analysis.contextual.numTuples,macrobase.analysis.contextual.pruning.triviality,macrobase.analysis.contextual.pruning.contextContainedInOutliers,macrobase.analysis.contextual.pruning.mad.noOutliers,macrobase.analysis.contextual.pruning.mad.containedOutliers,timeTotal,timeBuildLattice,timeDetectContextualOutliers,timeMADNoOutliersContainedOutliersPruned,numDensityPruning,numTrivialityPruning,numContextContainedInOutliersPruning,numContextsGenerated,numMadNoOutliers,numMadContainedOutliers,numContextsGeneratedWithMaximalOutliers,precision,recall,precisionRelaxed,recallRelaxed
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-11-15:09:00,Completed,MAD,POSTGRES_LOADER,0.01,3,1000000,True,True,True,True,25733,23527,2068,404,36873,806,86,97313,59070,37116,1127,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-11-15:09:30,Completed,MAD,POSTGRES_LOADER,0.01,5,1000000,True,True,True,True,23255,21491,1670,379,37319,808,47,97487,70585,26208,694,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-11-15:09:59,Completed,MAD,POSTGRES_LOADER,0.01,7,1000000,True,True,True,True,24231,23598,557,207,37631,812,20,97644,90986,6499,159,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-11-15:10:28,Completed,MAD,POSTGRES_LOADER,0.01,9,1000000,True,True,True,True,21330,20537,657,229,37631,812,20,97644,91007,6492,145,,,,
marketing100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/marketing100000/11-11-15:10:54,Completed,MAD,POSTGRES_LOADER,0.01,11,1000000,True,True,True,True,23154,22508,557,221,37631,812,20,97644,91026,6488,130,,,,
